Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-06-13,WH Bread,Bakery,,,3.27,Walmart,,
2025-06-13,Plate-Blue,Groceries,,,0.75,Walmart,,
2025-06-13,Plate-Blue,Groceries,,,0.75,Walmart,,
2025-06-13,Plate-Blue,Groceries,,,0.75,Walmart,,
2025-06-13,TDLQ CWOS,Toiletries,,,24.97,Walmart,,
2025-06-13,MAX 3PK,Toiletries,,,9.97,Walmart,,
2025-06-13,MILO Energy,Beverages,,,5.37,Walmart,,
2025-06-13,HST,Tax,,,4.83,Walmart,,
2025-06-14,CROISSANT,Bakery,,,7.99,Costco,,
2025-06-14,ORG FT BANANA,Produce,,,2.99,Costco,,
2025-06-14,KS FR EGGS,Poultry,,,8.99,Costco,,
2025-06-14,SS MINI LOAF,Bakery,,,8.99,Costco,,
2025-06-14,RAISIN BRAN,Cereal,,,9.99,Costco,,
2025-06-14,ROTI CHICKEN,Hot Foods,,,7.99,Costco,,
2025-06-14,MINI MELON,Produce,,,5.99,Costco,,
2025-06-14,KS ORG JUICE,Juice,,,16.99,Costco,,
2025-06-14,HST,Tax,,,1.69,Costco,,
2025-06-15,FM Mandarins 2LB,Produce,,,6.99,Loblaws,,
2025-06-15,RCLA BG HNY LM E (Honey Lemon),Medicine,,,8.49,Loblaws,,
2025-06-15,HST (13%),Tax,,,1.1,Loblaws,,
2025-06-18,Cool Seasoning,Groceries,,,3.49,Loblaws,,
2025-06-18,Trustaste Homo,Dairy,,,6.49,Loblaws,,
2025-06-18,Wond Bread White ,Bakery,,,3.99,Loblaws,,
2025-06-18,ASRT TN SB SNDW,Hot Foods,,,7,Loblaws,,
2025-06-18,Ham Sub,Hot Foods,,,7,Loblaws,,
2025-06-18,HST (13%),Tax,,,1.82,Loblaws,,
2025-06-20,Selection CH. VAN,Groceries,1,,4.79,Food Basics,,
2025-06-20,Cedar Sardine,Groceries,6,,7.5,Food Basics,,
2025-06-20,Goldseal Soya Oil,Groceries,5,,8.95,Food Basics,,
2025-06-20,Clementines,Produce,1,,4.98,Food Basics,,
2025-06-20,Clementines,Produce,1,,4.98,Food Basics,,
2025-06-20,Bagged Avocados,Produce,1,,2.88,Food Basics,,
2025-06-20,Act. 2.9% Vanilla,Dairy,1,,3.49,Food Basics,,
2025-06-20,Activia Vanilla,Dairy,1,,4.99,Food Basics,,
2025-06-21,Digestives Cookie,Snacks,,,5.98,Loblaws,,
2025-06-21,Burn Med Eggs,Poultry,,,9.19,Loblaws,,
2025-06-21,Homo 4L,Dairy,,,7.25,Loblaws,,
2025-06-21,Wonder Bread White,Bakery,,,3.99,Loblaws,,
2025-06-21,Frank PT,Kitchen,,,21.99,Canadian Tire,,
2025-06-21,HST,Tax,,,2.86,Canadian Tire,,
2025-06-22,Ezekiel Bread,Bakery,,,9.99,Loblaws,,
2025-06-22,Baby Carrots (454g),Produce,,,4,Loblaws,,
2025-06-22,Okra,Produce,,,5.59,Loblaws,,
2025-06-22,Seedless Red Watermelon,Produce,,,3.99,Loblaws,,
2025-06-22,Ricola Herbal Sticks,Medicine,,,3.6,Loblaws,,
2025-06-22,Reusable Short PC,Groceries,,,0.35,Loblaws,,
2025-06-22,HST,Tax,,,0.51,Loblaws,,
2025-06-23,Vanilla Ice cream ,Dairy,2,,10,Loblaws,,
2025-06-25,L/S PNK LADY 1.36KG,Produce,,,6.99,Longos,,
2025-06-25,LONGOS CLMENTNE 908G,Produce,,,5.99,Longos,,
2025-06-25,JUICY FRUIT YELLOW 3,Groceries,,,4.99,Longos,,
2025-06-25,ROCHER TABLET DARK C,Groceries,,,3.99,Longos,,
2025-06-25,TAKIS FUEGO 280G,Groceries,,,3.49,Longos,,
2025-06-25,MILD BEEF PATTIES 2,Hot Foods,,,4,Longos,,
2025-06-25,MILD BEEF PATTIES 2,Hot Foods,,,4,Longos,,
2025-06-25,LONGOS RWA BBQ CHCKN,Hot Foods,,,15.99,Longos,,
2025-06-25,HST,Tax,,,4.74,Longos,,
2025-06-28,Ann,Groceries,,,35.87,Loblaws,,
